img_name,actor_name_Golem,actor_name_Satyr,actor_type_type1,actor_type_type2,actor_type_type3,actor_action_Attacking,actor_action_Taunt,actor_action_Walking,reactor_name_Golem,reactor_name_Satyr,reactor_type_type1,reactor_type_type2,reactor_type_type3,reactor_action_Attacking,reactor_action_Dying,reactor_action_Hurt,reactor_action_Idle
combination3_rotation2,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_rotation3,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise2,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise3,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise4,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise5,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination3_noise6,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
combination4_original,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_horizontal,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_rotation1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_rotation2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_rotation3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination4_noise6,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
combination5_original,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_horizontal,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_rotation1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_rotation2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_rotation3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination5_noise6,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
combination6_original,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_horizontal,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_rotation1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_rotation2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_rotation3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination6_noise6,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
combination7_original,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_horizontal,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_rotation1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_rotation2,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_rotation3,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise2,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise3,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise4,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise5,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination7_noise6,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
combination8_original,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_horizontal,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_rotation1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_rotation2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_rotation3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise4,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise5,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination8_noise6,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
combination9_original,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_horizontal,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_rotation1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_rotation2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_rotation3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise4,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise5,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination9_noise6,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
combination10_original,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_horizontal,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_rotation1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_rotation2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_rotation3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise4,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise5,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination10_noise6,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
combination11_original,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_horizontal,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_rotation1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_rotation2,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_rotation3,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise2,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise3,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise4,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise5,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination11_noise6,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
combination12_original,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_horizontal,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_rotation1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_rotation2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_rotation3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise4,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise5,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination12_noise6,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
combination13_original,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_horizontal,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_rotation1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_rotation2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_rotation3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise4,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise5,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination13_noise6,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
combination14_original,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_horizontal,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_rotation1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_rotation2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_rotation3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise4,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise5,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination14_noise6,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
combination15_original,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_horizontal,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_rotation1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_rotation2,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_rotation3,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise2,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise3,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise4,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise5,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination15_noise6,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
combination16_original,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_horizontal,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_rotation1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_rotation2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_rotation3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise4,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise5,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination16_noise6,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
combination17_original,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_horizontal,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_rotation1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_rotation2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_rotation3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise4,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise5,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination17_noise6,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
combination18_original,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_horizontal,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_rotation1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_rotation2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_rotation3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise4,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise5,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination18_noise6,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
combination19_original,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_horizontal,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_rotation1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_rotation2,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_rotation3,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise2,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise3,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise4,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise5,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination19_noise6,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
combination20_original,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_horizontal,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_rotation1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_rotation2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_rotation3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise4,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise5,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination20_noise6,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
combination21_original,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_horizontal,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_rotation1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_rotation2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_rotation3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise4,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise5,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination21_noise6,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
combination22_original,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_horizontal,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_rotation1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_rotation2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_rotation3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise4,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise5,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination22_noise6,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
combination23_original,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_horizontal,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_rotation1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_rotation2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_rotation3,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise3,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise4,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise5,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination23_noise6,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
combination24_original,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_horizontal,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_rotation1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_rotation2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_rotation3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise4,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise5,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination24_noise6,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
combination25_original,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_horizontal,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_rotation1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_rotation2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_rotation3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise4,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise5,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination25_noise6,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
combination26_original,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_horizontal,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_rotation1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_rotation2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_rotation3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise4,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise5,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination26_noise6,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
combination27_original,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_horizontal,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_rotation1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_rotation2,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_rotation3,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise2,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise3,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise4,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise5,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination27_noise6,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
combination28_original,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_horizontal,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_rotation1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_rotation2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_rotation3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise4,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise5,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination28_noise6,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
combination29_original,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
combination29_horizontal,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
combination29_rotation1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
combination29_rotation2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
combination29_rotation3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
